,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
21,CLB,C,LONG BEACH CCM,O,Long Beach CCM,33.7270523232909,-118.26810121536255,RRM,N/A,1299 SEASIDE AVENUE,,SAN PEDRO,CA,90731,,33.7270523232909,-118.26810121536255
22,CMC,C,MCRAE CCM,P,McRae CCM,,,,,,,,,,,,
23,CMM,C,MIAMI CCM,O,Miami CCM,25.778068631351726,-80.19376873970032,RRM,N/A,401 N MIAMI AVENUE,,MIAMI,FL,33128,,25.778068631351726,-80.19376873970032
24,CMI,C,MILWAUKEE CCM,O,Milwaukee CCM,,,,,,,,,,,,
25,CMS,C,MINNEAPOLIS CCM,O,Minneapolis CCM,44.97805044643724,-93.26568603515625,RRM,N/A,"300 SOUTH 4TH ST, SUITE 1210",,MINNEAPOLIS,MN,55415,,44.97805044643724,-93.26568603515625
26,CMY,C,MONTGOMERY CCM,O,Montgomery CCM,32.39196604905696,-86.35588645935059,RRM,N/A,"MAXWELL AFB, BLDG 1209",820 WILLOW STREET,MONTGOMERY,AL,36112,,32.39196604905696,-86.35588645935059
27,CMV,C,MOSHANNON VALLEY CCM,P,Moshannon Valley CCM,,,,,,,,,,,,
28,CNV,C,NASHVILLE CCM,O,Nashville CCM,36.15833785894452,-86.78255081176758,RRM,N/A,"701 BROADWAY ST, SUITE 124",,NASHVILLE,TN,37203,,36.15833785894452,-86.78255081176758
29,CNO,C,NEW ORLEANS CCM,O,New Orleans CCM,,,,,,,,,,,,
30,CNK,C,NEW YORK CCM,O,New York CCM,40.65988732637896,-74.00301575660706,RRM,N/A,201 VARICK STREET,ROOM 849,NEW YORK,NY,10014,,40.65988732637896,-74.00301575660706
31,COR,C,ORLANDO CCM,O,Orlando CCM,28.75962721130452,-82.00122356414795,RRM,N/A,6303 COUNTY ROAD 500,,WILDWOOD,FL,34785,,28.75962721130452,-82.00122356414795
32,CPA,C,PHILADELPHIA CCM,O,Philadelphia CCM,39.94940796479055,-75.14578700065613,RRM,N/A,2ND & CHESTNUT ST - 7TH FL,,PHILADELPHIA,PA,19106,,39.94940796479055,-75.14578700065613
33,CPH,C,PHOENIX CCM,O,Phoenix CCM,33.451026,-112.07539,RRM,N/A,"230 N FIRST AVE, SUITE 405",,PHOENIX,AZ,85003,,33.451026,-112.07539
34,CPG,C,PITTSBURGH CCM,O,Pittsburgh CCM,40.44363210182356,-79.99524235725403,RRM,N/A,"1000 LIBERTY AVENUE,STE 1315",,PITTSBURGH,PA,15222,,40.44363210182356,-79.99524235725403
35,CRL,C,RALEIGH CCM,O,Raleigh CCM,36.144528857027744,-78.79013657569885,RRM,N/A,OLD NC 75 HIGHWAY,,BUTNER,NC,27509,,36.144528857027744,-78.79013657569885
36,CRE,C,REEVES CCM,P,Reeves CCM,,,,,,,,,,,,
37,CRS,C,REEVES DC CCM,P,Reeves DC CCM,,,,,,,,,,,,
38,CRV,C,RIVERS CCM,P,Rivers CCM,,,,,,,,,,,,
39,CSC,C,SACRAMENTO CCM,O,Sacramento CCM,38.58354934727576,-121.49880051612854,RRM,N/A,"501 I STREET, SUITE 9-400",,SACRAMENTO,CA,95814,,38.58354934727576,-121.49880051612854
40,CSL,C,SALT LAKE CITY CCM,O,Salt Lake City CCM,,,,,,,,,,,,
41,CSA,C,SAN ANTONIO CCM,O,San Antonio CCM,29.41751655130468,-98.48473906517029,RRM,N/A,727 EAST CESAR E. CHAVEZ BLV,SUITE B-138,SAN ANTONIO,TX,78206,,29.41751655130468,-98.48473906517029
42,CSE,C,SEATTLE CCM,O,Seattle CCM,47.4227076,-122.3024917,RRM,N/A,2425 SOUTH 200 ST (AT FDC),,SEATTLE,WA,98198,,47.4227076,-122.3024917
43,CST,C,ST LOUIS CCM,O,St Louis CCM,38.62438528072939,-90.19984602928162,RRM,N/A,"1222 SPRUCE ST, SUITE 6.101",,ST LOUIS,MO,63103,,38.62438528072939,-90.19984602928162
44,CTF,C,TAFT CCM,P,Taft CCM,,,,,,,,,,,,
45,ACC,T,ADAMS COUNTY CORR CTR CI,O,Adams County Correctional Center CI,,,,,,,,,,,,
46,ALD,T,ALDERSON FPC,O,Alderson FPC,37.725277605059226,-80.65844535827637,FPC,Minimum,GLEN RAY RD. BOX A,,ALDERSON,WV,24910,754.0,37.725277605059226,-80.65844535827637
47,ALI,T,ALICEVILLE FCI,O,Aliceville FCI,33.144055298450276,-88.1669569015503,FCI,Low,11070 HIGHWAY 14,,ALICEVILLE,AL,35442,1603.0,33.144055298450276,-88.1669569015503
48,ALF,T,ALLENWOOD LOW FCI,O,Allenwood Low FCI,41.163656667848024,-76.92302942276001,,,"RT 15,2 MILES N OF ALLENWOOD",,ALLENWOOD,PA,17810,1069.0,41.163656667848024,-76.92302942276001
49,ALM,T,ALLENWOOD MED FCI,O,Allenwood Med FCI,41.128455655130786,-76.91230058670044,,,"RT 15, 2 MI N OF ALLENWOOD",,WHITE DEER,PA,17810,1262.0,41.128455655130786,-76.91030058670044
